# psi Mf af cosiota Q A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
6.193983237736458980e-01 6.606852559124178015e+01 5.858645129116104577e-01 -2.130088300367202758e-01 3.867407603993131548e-01 1.093483036123208052e+01 4.604743714107462083e+00 3.032249928447703913e-01 2.706135244433551357e+00 4.902268725510095848e+00 5.477432003343783329e+00 2.109616551161932512e+04 0.000000000000000000e+00
3.001405374248744096e+00 6.383917350605658214e+01 6.139934444540547931e-01 -7.609896590597552413e-01 1.757201426994695892e-01 3.780495402759399326e+00 2.283384152954027524e+00 2.037149528641900853e-01 6.630395997438665034e-01 2.910216153673154338e+00 3.055433563704758271e+00 2.109682901743746334e+04 0.000000000000000000e+00
1.753736025868440074e-01 6.587440585023632877e+01 6.489933554470859178e-01 -9.720826709491388329e-02 7.427603258029316646e-02 1.008001186000394789e+01 4.680743163034766674e+00 2.913806658491484014e-01 7.289819206865327805e-01 2.889252721909775889e+00 2.640759416691436989e+00 2.109793749223020131e+04 0.000000000000000000e+00
1.888049909621890121e+00 6.331231819350140455e+01 5.981771113102448689e-01 2.623674355863249777e-02 6.483589725620819699e-02 2.083338005969176265e+01 1.178921107131998980e+01 6.231704435622612559e-01 3.330167710024645178e+00 5.529537603866116591e+00 5.599814768318479352e+00 2.109861638490304540e+04 0.000000000000000000e+00
1.809595950779722795e+00 6.500926368086643947e+01 6.465130336938218480e-01 4.214728438795307675e-01 4.905818135160541771e-02 6.079771511700682751e+00 3.574641595501701907e+00 1.200131432352132960e-01 2.475729133232205559e+00 4.400974442234208972e+00 4.316090473149738926e+00 2.109914626393017897e+04 0.000000000000000000e+00
9.699182144562902286e-01 6.521078115444302625e+01 3.634211826020502523e-01 -9.641282289700697783e-02 7.869867761145065144e-01 6.496839052688714311e+00 2.759893860020159906e+00 1.543594663992008675e-01 3.486223883874301155e+00 5.642872248122712264e+00 5.507509836405958481e+00 2.109933705395093057e+04 0.000000000000000000e+00
1.286418263969688613e+00 6.701730671885734125e+01 5.085675060293137761e-01 1.532843277212817684e-02 6.193110627927058687e-01 5.370459747597735145e+00 2.703678741622671300e+00 1.178776065638123677e-01 3.525480376702076146e+00 5.374418895152835773e+00 5.263956878530991368e+00 2.109940235073537769e+04 0.000000000000000000e+00
1.158104809236415234e+00 6.981094560938187499e+01 6.827388489827584950e-01 -8.540858945717770545e-02 3.220896209586319170e-01 5.095900261825263122e+00 2.971903060875871638e+00 2.343225729467904583e-01 3.462212447507658553e+00 5.322738051149302763e+00 5.450394070755303133e+00 2.109960823243995037e+04 0.000000000000000000e+00
1.915090561499466437e+00 6.715822850733840710e+01 5.857061486644409287e-01 2.238678515017695492e-01 4.462108660498841917e-01 1.080498953209125368e+01 4.921472310758876034e+00 4.142434111983885336e-01 2.527689524205880112e+00 4.453154002801595901e+00 4.250030111225403751e+00 2.109969866290030041e+04 0.000000000000000000e+00
1.079934311294987515e+00 6.027047656072340942e+01 1.656585194402579175e-01 7.439189537542765240e-01 9.207024399382153224e-01 4.069776475548298578e+00 1.952117244274463204e+00 2.356591053789129087e-01 3.925901696219836090e+00 1.165707727102286012e-01 2.278052410905152467e-02 2.109974357160030195e+04 0.000000000000000000e+00
