# psi Mf af cosiota Q A2220 A2221 phi2220 phi2221 logL logPrior
6.225630608111998310e-01 6.341513524635848142e+01 5.876166190734851691e-01 -4.020414482043829230e-01 1.500873545939196141e-01 7.251233030196289064e+00 3.509317181140457986e+00 2.502513537424319257e+00 5.176522870419459466e+00 2.132138818019199243e+04 0.000000000000000000e+00
2.393533149966212026e+00 6.577875043425034107e+01 6.089285524984853204e-01 3.653499795812610307e-01 3.184876601621195458e-01 6.308445391315261830e+00 2.869411072490733350e+00 1.101197124808221961e+00 3.718054135545169281e+00 2.132193657615928532e+04 0.000000000000000000e+00
2.100678504796224533e-01 6.407752444063044095e+01 5.947926532283425161e-01 -1.819701220398181052e-01 2.085831454023177323e-01 1.036197009531628943e+01 5.044317519335146827e+00 1.059722764223107516e+00 3.759262042341849241e+00 2.132346633159881094e+04 0.000000000000000000e+00
2.600456873414531689e-01 6.470321101638440098e+01 5.943587167222150747e-01 3.036098656320375677e-01 2.947154176964992267e-01 8.461386554258165660e+00 3.954741576993334284e+00 5.818810900747510395e+00 2.077007400648236857e+00 2.132401475632474103e+04 0.000000000000000000e+00
3.829272378928424980e-01 6.403875604732216686e+01 5.338219056247642813e-01 -2.882466650279055242e-01 4.649634156529459106e-01 1.018278489574219670e+01 5.235638955479673839e+00 1.706578979165578547e+00 4.263802598730863203e+00 2.132435252012887577e+04 0.000000000000000000e+00
1.071562863528556786e+00 6.432748372319365160e+01 5.453353019440357885e-01 5.801876943482047189e-01 4.181755132136656394e-01 4.562936472990355874e+00 2.171344403474569695e+00 3.923785605904708262e+00 2.865696802481873529e-01 2.132520050921322036e+04 0.000000000000000000e+00
2.576252733724172739e+00 6.553287017438239559e+01 6.250883274646547028e-01 2.241418101706388333e-01 2.045034327030981758e-01 6.093797237516416665e+00 2.687704545156890390e+00 6.989784736847842739e-01 3.316971380972274730e+00 2.132521091861949390e+04 0.000000000000000000e+00
1.947673761889703758e+00 6.312515065308405582e+01 2.811922634113206976e-01 7.183194062822495507e-01 8.496763637442416028e-01 4.136134587327179979e+00 1.857405890879711974e+00 2.239245870003988337e+00 4.910317529933666769e+00 2.132553902046478106e+04 0.000000000000000000e+00
1.641811539372165951e+00 6.466109452406242042e+01 4.600265154841515214e-01 3.307510187112755462e-01 6.386146683627771381e-01 6.452561829919097214e+00 2.948572308686298271e+00 3.051457748009764881e+00 5.610722131965336423e+00 2.132600051512450591e+04 0.000000000000000000e+00
2.606418028718210156e+00 6.379523925473343837e+01 5.836992082251235558e-01 -2.602739144429490059e-01 2.615084230226675244e-01 6.090512855300276307e+00 3.038706128798503325e+00 2.427833761311175842e-01 2.888374245959126618e+00 2.132608793393105952e+04 0.000000000000000000e+00
5.493162828744003745e-01 6.586898754764131070e+01 5.748532587718946374e-01 -2.189023433694515519e-01 4.328362688326085062e-01 1.221102161422411037e+01 5.283395246375928167e+00 2.440629488571396610e+00 4.944915212383892644e+00 2.132613534020914449e+04 0.000000000000000000e+00
