# psi Mf af cosiota Q A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
5.939140109617688928e-02 6.767793770709458556e+01 6.465846086946895888e-01 5.835779149289591766e-02 2.849701839090309496e-01 7.140758676613806699e+00 2.583119097541784370e+00 2.017477153465957462e-01 3.932079289884153339e-01 2.754758869076251226e+00 3.570253212716039126e+00 2.141907630531146788e+04 0.000000000000000000e+00
2.924060186372907655e+00 6.685730902811552312e+01 5.639177857935163685e-01 7.486945606168293743e-01 5.056712042738491508e-01 3.398732390080245302e+00 1.424149404039945166e+00 1.323796281050224621e-01 2.533257734172968401e-01 2.569527781734209704e+00 3.299502574335367200e+00 2.142294314729591497e+04 0.000000000000000000e+00
3.140560834037872784e+00 6.654966023760914595e+01 6.010855377112571674e-01 2.697694482694780183e-01 3.973346769054430516e-01 5.697855022511280509e+00 2.551918302118613813e+00 1.465203806313459534e-01 6.589042915002581158e-02 2.275471089208167985e+00 3.182161547806306334e+00 2.142308278021435399e+04 0.000000000000000000e+00
2.713485775011534873e+00 6.595348091859285944e+01 6.442094910387383688e-01 -3.117454204970054321e-01 1.305247089154416007e-01 4.879644717027771250e+00 2.143297535549710808e+00 1.316979920667381287e-01 3.367090867600201487e-01 2.599726274077394539e+00 3.077585552398748092e+00 2.142324689613630107e+04 0.000000000000000000e+00
1.881599694789053423e+00 6.665083245929375266e+01 6.476678670715866337e-01 -3.005257817934959275e-01 2.251644755213280114e-01 7.893540654680466950e+00 3.534024752784644008e+00 3.231319547293555194e-01 4.640250399967928985e+00 6.083476255569135738e-01 1.173305263468836568e+00 2.142375953668491638e+04 0.000000000000000000e+00
3.507362897647359201e-01 6.714690420537321813e+01 4.996393883979471373e-01 -1.348585198366207549e-01 6.337504693895341656e-01 1.527643861594896535e+01 6.152060289402070836e+00 4.264206379270771841e-01 1.344567567360982707e+00 3.685535280111501333e+00 4.478061464423992000e+00 2.142386226293882282e+04 0.000000000000000000e+00
1.324366822391367104e-01 6.783409086771904128e+01 5.393336409755238314e-01 2.247127581959978970e-01 5.924738172138662717e-01 6.820630543187832018e+00 3.201627123897585303e+00 2.011528048567910731e-01 6.200000246050756836e+00 2.051019565796810440e+00 2.467850969055937149e+00 2.142405656247031584e+04 0.000000000000000000e+00
2.983198281092163673e-01 6.819293939325734755e+01 6.763322953046534414e-01 1.197827127754233917e-01 2.261949122000688761e-01 1.265545730040486383e+01 5.226944085284805475e+00 2.950818775551227735e-01 6.108837451107943295e+00 1.935148972987531746e+00 2.976797120040233668e+00 2.142486385097905077e+04 0.000000000000000000e+00
2.261799287663408542e+00 6.716778640366463549e+01 5.134594364984187420e-01 3.658831844527742350e-01 6.093438830173577569e-01 6.262179160298589231e+00 2.547470339188731447e+00 1.417114519269618567e-01 1.386386560579755844e+00 3.657996249372877706e+00 4.338472810826511150e+00 2.142488884509737545e+04 0.000000000000000000e+00
3.059780961931685805e+00 6.759259156948424163e+01 4.916614971914802235e-01 -4.046951535588043103e-01 6.593549680240544664e-01 4.606591477275685520e+00 1.822000946667119647e+00 1.260545580811746613e-01 8.263665471382207750e-01 2.998982023126871344e+00 3.396849003376934739e+00 2.142495890060516467e+04 0.000000000000000000e+00
2.564907195565316655e+00 6.741524438985686629e+01 5.281499856977623919e-01 -4.660041409933133316e-01 5.949549951444367268e-01 4.469350856538792272e+00 2.027469180189362064e+00 1.451471049497805865e-01 3.549190500212654614e-02 2.243744228676670893e+00 2.699939111770783384e+00 2.142507418863924613e+04 0.000000000000000000e+00
2.732810041603293882e+00 6.848798307094240556e+01 6.905284452676092588e-01 -5.440295027797482641e-01 1.256150989710644594e-01 3.783524260603867262e+00 1.512879384205671141e+00 9.373921655778198747e-02 3.230365566815989742e-01 2.397970934739738436e+00 2.936769826957078777e+00 2.142530088668566168e+04 0.000000000000000000e+00
6.174373229209314529e-01 6.553179175993270178e+01 4.001125374524039935e-01 -2.412672509080564520e-01 7.453712229204456641e-01 9.609286413298805840e+00 4.129331368403415858e+00 3.416087116648142685e-01 2.675528426907147317e+00 5.117816237439575033e+00 5.659061081353194744e+00 2.142551810800343446e+04 0.000000000000000000e+00
2.231724459203960453e+00 6.804270909298877257e+01 6.551781957898229480e-01 2.036288052636890389e-01 3.165485734339015811e-01 9.138563073479497589e+00 4.339335462362108764e+00 3.581091852256020336e-01 1.145360740555471546e+00 3.298070054026603692e+00 3.882295755313379004e+00 2.142566635036110529e+04 0.000000000000000000e+00
1.776889801807762792e-01 6.838141753451783700e+01 5.637669552000875717e-01 4.880654733690935609e-01 5.536882920605082914e-01 4.765452665903391782e+00 2.037109248947214457e+00 1.913893128456673753e-01 5.841517930349260368e+00 1.772252779380630638e+00 2.277354938402586182e+00 2.142582312360765354e+04 0.000000000000000000e+00
2.026740073921279528e+00 6.874118301723018476e+01 6.254774825299265206e-01 -7.915789432375889279e-01 4.439452837520263540e-01 3.090891104004594325e+00 1.519641552420248232e+00 1.416799178251539337e-01 5.098499654482354870e+00 8.438230631619618727e-01 1.164279417354295632e+00 2.142589488200022242e+04 0.000000000000000000e+00
1.732778194176262554e+00 6.746762176085644569e+01 6.794931623955565714e-01 6.641065486955888275e-02 8.938767208131678799e-03 8.973096261063515655e+00 3.654188305683732096e+00 3.040078517341269215e-01 3.424560272082909140e+00 5.769716714805829483e+00 4.882799948807948348e-02 2.142590945582431596e+04 0.000000000000000000e+00
1.404117900685858400e-01 6.737375999411504779e+01 6.772721816920218574e-01 -1.312567055296005036e-01 5.607880324637995462e-02 7.944498702449745764e+00 3.454871534352158768e+00 2.601350585050867803e-01 7.920254939620697821e-01 3.050291707330706092e+00 3.348909742211963358e+00 2.142595979878554499e+04 0.000000000000000000e+00
7.726847613479507215e-01 6.665325544670849922e+01 6.401689080606605131e-01 3.954401300374391082e-01 2.362124834684544983e-01 5.569246892580713038e+00 2.236970512601252903e+00 1.647714431515389377e-01 4.383113200863146375e+00 3.828643311103915869e-01 8.814721630965539623e-01 2.142602734748693547e+04 0.000000000000000000e+00
1.675842231090032941e+00 6.855515068309600224e+01 6.484572241521090463e-01 9.451706142178024628e-01 3.472005455243666328e-01 2.618378611391916078e+00 1.121679404158906435e+00 2.202075115777702985e-01 2.719910561889137934e+00 4.812256043152412843e+00 5.476174875226500482e+00 2.142604095486503138e+04 0.000000000000000000e+00
4.176532120565433770e-01 6.598682869118212579e+01 4.805054128578713502e-01 -9.439614043452387859e-01 6.354453904887790161e-01 2.893510564472766777e+00 1.294920698189540698e+00 3.397702112292027565e-01 1.949439427991675577e+00 4.414151897998779717e+00 4.966720628875871846e+00 2.142605201444426348e+04 0.000000000000000000e+00
1.103134664288975830e-01 6.611362725203936463e+01 5.963746825582476596e-01 2.021075462309779858e-01 3.762275940116254214e-01 7.259058560612494659e+00 3.218966749353807888e+00 2.012500802672949063e-01 2.473983876458184239e-02 2.381586771774820921e+00 2.916959580467027635e+00 2.142606087868112081e+04 0.000000000000000000e+00
2.330599846681656651e+00 6.602406854462034858e+01 5.916751836131310949e-01 4.574588144296652392e-01 3.940052881464632950e-01 5.251536394281539621e+00 2.441109177017366516e+00 2.112377793103498713e-01 1.276691928451294977e+00 3.601115317752075828e+00 4.155811589123203476e+00 2.142639229278559651e+04 0.000000000000000000e+00
2.925071833674744437e-01 6.650592488940731073e+01 6.350639799604657076e-01 4.738713318454464973e-01 2.420303863105686404e-01 5.378410634606509255e+00 2.093366530438093509e+00 1.778363829765758075e-01 5.617532662968494073e+00 1.678701721838960381e+00 2.342570501676435324e+00 2.142649782972140747e+04 0.000000000000000000e+00
2.107130865046197066e+00 6.882744933338949522e+01 6.847107631078255263e-01 2.687964137937089437e-01 2.514782621043374911e-01 8.721291353858728002e+00 3.972590260900099146e+00 2.115152591621193567e-01 1.676616618508968148e+00 3.660932239154545798e+00 4.374472348244619724e+00 2.142664641812253467e+04 0.000000000000000000e+00
8.985241341413130467e-01 6.746901912971770798e+01 5.708627605944872618e-01 -4.604522538857723779e-01 5.219177408460771161e-01 4.698170671465229375e+00 2.242037012404700214e+00 1.378120017675129871e-01 2.982746308227016918e+00 5.161561535409260770e+00 5.755867218099466776e+00 2.142671606810813319e+04 0.000000000000000000e+00
2.809140787610259871e+00 6.804741324402449720e+01 5.569618362834062308e-01 -5.520588509083342865e-01 5.494792841680326001e-01 3.892944440842243559e+00 1.541088344185349790e+00 1.182121851642626703e-01 4.720634412012051917e-01 2.704810027170274633e+00 3.240795373756637954e+00 2.142675246562922257e+04 0.000000000000000000e+00
2.708962381671657926e+00 6.935222763479180230e+01 7.192998388782896324e-01 8.428011061922666691e-01 3.924809283476732996e-02 2.785088458435550862e+00 1.321966559699134791e+00 1.214625626413260162e-01 6.112004172814829994e-01 2.566136627450620544e+00 3.313967691192181153e+00 2.142677723763525864e+04 0.000000000000000000e+00
2.339200890375256137e+00 6.853054209086583626e+01 4.863997959074730093e-01 -5.903204293599250557e-02 6.967166359817238419e-01 8.344755764575035428e+00 3.883349142232135787e+00 1.865689085012017245e-01 2.452706009101987827e-01 2.266161365111691417e+00 2.867983340223519306e+00 2.142678257218442013e+04 0.000000000000000000e+00
3.003316610577996038e+00 6.804880730434666702e+01 6.563261072491455295e-01 7.092600940372216778e-01 2.979426426283797169e-01 3.322272572247301881e+00 1.363233454706852532e+00 1.138066656389704195e-01 9.664517923005841449e-02 2.198156284478804068e+00 2.795170965044490252e+00 2.142686968919377614e+04 0.000000000000000000e+00
1.134253076414106776e+00 6.602182220750044905e+01 6.232650613818661034e-01 8.527342141819311827e-01 2.669920794351486881e-01 3.154930642777005634e+00 1.384741968450142302e+00 2.120581756277390428e-01 3.827885949646740560e+00 6.260178767823235901e+00 5.080798608681802442e-01 2.142691192205165135e+04 0.000000000000000000e+00
