# psi Mf af cosiota Q A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
4.356998063774994989e-01 6.724651833119106925e+01 6.762748249850527582e-01 -2.175342387936843591e-01 1.496560152911021735e-01 1.200541579604787401e+01 5.860773837356411775e+00 4.110215843215694331e-01 1.848413655592682225e+00 3.959001783227854787e+00 2.437117375586270285e+00 2.137800255101701987e+04 0.000000000000000000e+00
7.013138120676919440e-01 6.931997036538604107e+01 7.013934769215880438e-01 -2.241956787086394898e-01 1.864589133146092315e-01 7.895254118112958075e+00 3.255239969436270364e+00 3.328238438438096414e-01 2.898525123788441515e+00 4.839605993765139225e+00 3.133593812002332779e+00 2.137851016669033561e+04 0.000000000000000000e+00
3.107788325972645538e+00 6.549849025752310183e+01 4.915297305067898859e-01 -5.906956596035692342e-02 6.053516684771740319e-01 6.795520300401009628e+00 3.080754497501021483e+00 1.307848988980029603e-01 5.325044927809877704e-01 2.964404477681227057e+00 7.822240830009952184e-01 2.137970677629657075e+04 0.000000000000000000e+00
2.151521991573892012e-01 6.356922498975874447e+01 2.425501003017406787e-01 -1.880577429120945387e-01 9.144755281529924895e-01 8.947133409206401211e+00 4.484409270195627961e+00 2.891813426251155228e-01 9.813983026973414070e-01 3.095967055444811322e+00 1.436328855862773590e+00 2.137973745637599131e+04 0.000000000000000000e+00
2.698175124967827188e+00 6.841572290735204831e+01 6.842478862494912883e-01 -1.616389984215336750e-01 2.239968709664768021e-01 5.131956397764069422e+00 2.524766522567511551e+00 1.937113124443920198e-01 3.101069343953530288e-01 2.312077399109655929e+00 4.966580317078166940e-01 2.138037979934851683e+04 0.000000000000000000e+00
5.396849088823431062e-01 6.869783021537583068e+01 6.898059222760930531e-01 4.641312926255610205e-01 2.302019380890137079e-01 5.414706064584302148e+00 2.667937702392450205e+00 2.006406204643998992e-01 4.883597610817362877e+00 6.124898672046219517e-01 5.339871775459084979e+00 2.138054010774128983e+04 0.000000000000000000e+00
1.962592458123063599e+00 6.148349528368940753e+01 1.611706243399601557e-01 -3.342004475934385876e-01 9.606772188389647305e-01 8.090096008847982745e+00 3.392342606939970917e+00 1.588801966181769276e-01 4.939898311114782281e+00 1.016709348879057728e+00 4.821596052337277172e+00 2.138070911368409361e+04 0.000000000000000000e+00
1.111037316936880792e+00 6.622886190703032128e+01 6.576222948369835342e-01 -8.421234242510505785e-01 4.668105407593359235e-02 3.240316544629298967e+00 1.252257845520327484e+00 1.577383607580740976e-01 3.354547292501721234e+00 5.711721978443605963e+00 3.154060792974940242e+00 2.138080481845164468e+04 0.000000000000000000e+00
8.615100600291565325e-01 6.838490517062821539e+01 6.851809203890230071e-01 -1.731217875200523337e-01 2.171823872632616392e-01 6.620250383666598459e+00 2.963428382020949492e+00 2.032714683485419838e-01 3.240019263080104128e+00 5.310929157712693360e+00 3.368712913655534713e+00 2.138096908642583003e+04 0.000000000000000000e+00
9.478597193496651752e-01 6.915728635447329964e+01 6.508322759087062925e-01 3.138071782255146686e-02 3.818126544380311960e-01 6.116918017802915664e+00 2.608173352811101520e+00 2.689596171075322451e-01 3.621227018204590031e+00 5.608728313640417795e+00 3.798822501363243731e+00 2.138172162853499685e+04 0.000000000000000000e+00
2.235011747355254208e+00 6.708065934483869341e+01 6.657124526928116515e-01 -1.007609099390467840e-02 1.694030020183124041e-01 1.352364332747349884e+01 5.690027314121524071e+00 4.902059287219213135e-01 3.959765727695149784e-01 2.537860184354822746e+00 3.191870596592751852e-01 2.138176126242617102e+04 0.000000000000000000e+00
2.309618931943933640e-01 6.810647796568690637e+01 6.831863947698689765e-01 9.948681688640031995e-02 1.249230436756030849e-01 1.074978510559318501e+01 4.219396079005945488e+00 4.181453730781988787e-01 8.911541366233464989e-02 2.183051463346745269e+00 2.829645277557960581e-01 2.138191121207541073e+04 0.000000000000000000e+00
1.058370019791624816e+00 6.627264634387016429e+01 6.138536385816696361e-01 -4.510070713483540494e-01 3.215661412818708875e-01 4.795912110119961547e+00 1.949518244882231466e+00 1.170192035347491499e-01 3.331383036725060531e+00 5.734998313268270920e+00 3.242299048106548121e+00 2.138204373932812450e+04 0.000000000000000000e+00
1.461686712575801961e+00 6.423808278806158967e+01 2.845022804962957785e-01 -2.932434934252471925e-01 8.687741028698384715e-01 5.492716864746623351e+00 2.134955078750017332e+00 1.282266736667824203e-01 3.877386781924586856e+00 1.229975518569520650e-02 3.701663395322396521e+00 2.138251253014777467e+04 0.000000000000000000e+00
1.311417668209744702e+00 6.710665682353715056e+01 5.711100388536144434e-01 1.499156758485047369e-01 4.930635341478394329e-01 5.246918980724834647e+00 1.948155565255353716e+00 1.910771062775272200e-01 3.578465877017361407e+00 5.704504673177363649e+00 3.433345245028848858e+00 2.138255382396124696e+04 0.000000000000000000e+00
2.893138099514210193e+00 6.687568861948204813e+01 5.978731049016504651e-01 -6.265844546610231935e-01 4.308907697792875857e-01 3.907240782157424430e+00 1.735939785917319567e+00 1.476657019566035012e-01 5.664400034475909340e-01 2.831690295870846974e+00 8.450061955452370377e-01 2.138260293459823879e+04 0.000000000000000000e+00
2.841872439510625625e+00 6.749834653407320673e+01 4.818015821859417125e-01 -1.170425583683382467e-02 6.873566384939778784e-01 5.242245844466020266e+00 2.535299011687362825e+00 2.014607650427334695e-01 3.938664259024538539e-01 2.432684112430919754e+00 7.585970461384844432e-01 2.138260360280998430e+04 0.000000000000000000e+00
8.723760803286534360e-01 6.724637819337787903e+01 6.848031050227382233e-01 6.412228579178261278e-02 3.778592586203562836e-02 7.128302510754822130e+00 3.297879977170380172e+00 2.164937083000212092e-01 3.672281215675113675e+00 5.783511170176807603e+00 3.944013822497875132e+00 2.138272481469656850e+04 0.000000000000000000e+00
7.764388107658557470e-01 6.798632671120331850e+01 6.614862712717208826e-01 -3.880363207508197299e-01 2.741906260638167225e-01 5.636120949462659624e+00 2.531802529744123120e+00 2.346052862761784930e-01 2.826895735639548324e+00 4.940741269534392188e+00 3.298872046766147648e+00 2.138299746976221286e+04 0.000000000000000000e+00
2.348632076276107039e+00 6.696060975343890220e+01 6.380350272754703456e-01 4.546569773492895733e-02 2.812106983359696222e-01 9.199437773900124071e+00 3.794496223108411392e+00 2.005799451512035592e-01 5.927079424993774159e-01 2.975653698812121384e+00 6.646789553385938909e-01 2.138304842518112491e+04 0.000000000000000000e+00
8.955376163201401729e-01 6.607250976210323756e+01 6.062257887122823874e-01 -4.116009053268365747e-01 3.562980614809996283e-01 5.360553624705990394e+00 2.334245483490261286e+00 1.279855732431386117e-01 3.042558965031739504e+00 5.339384969052696661e+00 2.924966005029773886e+00 2.138306199869002012e+04 0.000000000000000000e+00
2.943048217199375927e+00 6.701188197551493886e+01 6.526189782523531546e-01 2.557476696027560226e-01 2.252554234152937263e-01 5.138768078578809018e+00 2.159571596635678770e+00 1.476639909593464584e-01 3.160413674201290046e-01 2.451799043233330977e+00 3.473760954513940846e-01 2.138306312152255487e+04 0.000000000000000000e+00
1.189482068567047524e+00 6.710444571740184472e+01 6.058343355191159185e-01 -4.791985396888020499e-01 4.184051528109476448e-01 4.422071321667004007e+00 2.102727513432604667e+00 1.296914848575316803e-01 3.462856397757707150e+00 5.674347440862373304e+00 3.987758987140856082e+00 2.138313263560018095e+04 0.000000000000000000e+00
5.065719671521339285e-01 6.646460649214468219e+01 6.461408405196342741e-01 -4.000720047693077097e-01 2.359912297275408577e-01 6.885931057505032094e+00 3.331841231519546476e+00 1.556385179602550184e-01 2.114696298591743240e+00 4.409568673790439597e+00 2.716566192790391465e+00 2.138315840132152516e+04 0.000000000000000000e+00
2.820204643265859179e+00 6.662968946733718667e+01 5.882539392206320716e-01 1.213482850062148066e-01 4.329007960943750954e-01 5.394193465563143164e+00 2.173686383473611539e+00 1.123186450862696389e-01 4.571921884743064823e-01 2.750934869662061466e+00 4.231337657668147179e-01 2.138325457618272776e+04 0.000000000000000000e+00
2.172168548456663295e+00 6.692815956875581662e+01 5.471064734540878050e-01 5.856221808907030590e-01 5.494791243512918699e-01 4.495014880560121107e+00 1.872860015146273538e+00 1.615472121671925332e-01 1.691707141558940641e+00 3.834879766492464093e+00 1.673635400894704972e+00 2.138331695361862148e+04 0.000000000000000000e+00
2.258493459677215931e+00 6.825071419460316235e+01 6.793268634456525179e-01 3.379593174022410551e-01 2.478062304146075034e-01 6.635353455482317919e+00 3.384525111143031673e+00 2.310170993170754528e-01 1.265359837108703367e+00 3.325212789887574072e+00 1.770196221545798698e+00 2.138331962858300540e+04 0.000000000000000000e+00
8.415204289910430679e-01 6.729348100531338162e+01 4.212684481706115980e-01 1.527728440838941049e-01 7.678709555170971646e-01 7.022685580837960018e+00 3.282265735686637598e+00 2.002267972608283153e-01 3.836294245211295806e+00 5.891788854354675031e+00 4.082886662429659808e+00 2.138340323961038303e+04 0.000000000000000000e+00
