# psi Mf af cosiota Q A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
1.927344664158179288e+00 6.591131521799155735e+01 6.493112552060246179e-01 2.114577805505961638e-01 2.052485780744758848e-02 1.175387845448282143e+01 4.214768578576743252e+00 7.631709286783974200e-01 2.550753583653618151e+00 4.828287252011832287e+00 2.311747582014234581e+00 2.137081489241967938e+04 0.000000000000000000e+00
2.203392080040884160e+00 6.610059579344041936e+01 3.506005762364767242e-01 5.444635039115749420e-01 8.262483131367879263e-01 4.707000871038958145e+00 1.578048053843357224e+00 3.619311299661138737e-01 1.665477854977354122e+00 3.829929600746305063e+00 1.252026120195045777e+00 2.137180188410321716e+04 0.000000000000000000e+00
1.226786317389128023e+00 6.799501394345820415e+01 4.826059552603397251e-01 3.806869847409540264e-01 6.834502523655223705e-01 4.490705934099723962e+00 1.566444363372159199e+00 3.154723039229420656e-01 3.674430097647461757e+00 5.849881874340245425e+00 3.521284060946963557e+00 2.137235215186624191e+04 0.000000000000000000e+00
4.226294897441342791e-01 6.848991722283730610e+01 6.447332169680941583e-01 2.599056337447841480e-01 3.646592069783054502e-01 9.561453648487262313e+00 3.498580763827936035e+00 7.557785233956454407e-01 5.339381958764295000e+00 9.478504097713531529e-01 5.067676025587674715e+00 2.137296808842923201e+04 0.000000000000000000e+00
6.895286804104995282e-01 6.695076243280620076e+01 4.588518230299205580e-01 -2.492572843373420388e-01 6.953023878142631231e-01 8.178844143293879654e+00 2.552633449989847758e+00 5.891620228267517856e-01 2.905505427498735305e+00 5.113180629082407336e+00 2.570413054189737867e+00 2.137305163649605311e+04 0.000000000000000000e+00
1.736602600257255435e+00 6.871865917364516463e+01 5.524736102031461149e-01 3.449701528090629021e-01 5.992241663004409524e-01 5.909579186816596774e+00 2.449098664540609427e+00 4.584698416650950792e-01 2.832595920545756485e+00 4.757028966885934906e+00 2.703878831234893809e+00 2.137312287493489566e+04 0.000000000000000000e+00
1.862946297335429824e+00 6.873535556410337222e+01 6.742889783938463832e-01 1.360173661255911770e-01 2.696062383201663915e-01 1.199549371341512582e+01 4.633261251033355066e+00 7.506325267010276470e-01 2.958279669666465495e+00 5.017406168863923988e+00 2.803784158352035760e+00 2.137313156058490131e+04 0.000000000000000000e+00
2.162043442223446466e+00 6.591660951282545966e+01 6.486777337096943929e-01 4.923924859531841891e-02 1.130037650798098314e-01 1.966967932996157842e+01 7.709803110289255024e+00 1.098461236988525158e+00 8.226951027878133260e-01 3.054744634417957627e+00 5.273558074128148476e-01 2.137313303133476438e+04 0.000000000000000000e+00
1.301684823488468812e+00 6.652177090588133979e+01 5.472180582362027312e-01 -2.305047683208208964e-01 5.202803833220367435e-01 5.209508837063248521e+00 1.785088829298726809e+00 3.295909290667339842e-01 3.718984610181384376e+00 6.093428029970253235e+00 3.374637158786801372e+00 2.137329597775877846e+04 0.000000000000000000e+00
1.703814899061162347e+00 6.705917399000449564e+01 5.061217532205164460e-01 -7.632751576148413264e-01 6.212581567450526920e-01 3.452792228507476135e+00 1.361317630656027067e+00 3.262519668392162009e-01 4.522383347605077653e+00 4.443990582578930537e-01 4.389303078111059797e+00 2.137337478655780433e+04 0.000000000000000000e+00
