# psi Mf af cosiota A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
1.965146791868674692e+00 6.693498262583638336e+01 6.837426835589763829e-01 4.889557502266487221e-01 5.511158615044670306e+00 3.352293063159020203e+00 2.686889119372502521e-01 2.052769318119712860e+00 4.032681729827900519e+00 4.020217143699195361e+00 2.137388888794215381e+04 0.000000000000000000e+00
3.289051370602389390e-01 6.671943879852496195e+01 6.702981414506932190e-01 -6.850225717830242533e-02 1.859198244488618812e+01 8.924724828869436521e+00 6.852914979342425994e-01 8.707752140692612830e-01 2.911404457420156966e+00 2.965122984121220551e+00 2.137435120045320582e+04 0.000000000000000000e+00
2.018008186120312519e+00 6.696229703246669374e+01 6.741515633918991890e-01 6.497190164420445502e-01 4.209979573839333078e+00 2.088372646786261111e+00 2.238065896451133796e-01 1.989169700539598740e+00 4.051053310864720203e+00 4.181225848575770065e+00 2.137461274573864284e+04 0.000000000000000000e+00
6.019765319206109577e-01 6.597627535289952050e+01 6.625801446762329405e-01 -5.779025234107999509e-01 4.817284831655742394e+00 2.671131400538298006e+00 2.932833618230030748e-01 2.238282363178355272e+00 4.387869791491136873e+00 4.654800941915740786e+00 2.137506668983807685e+04 0.000000000000000000e+00
2.254936471422091859e+00 6.604370628915302177e+01 6.617091873525829948e-01 -5.198156441787945420e-02 1.245886493361905600e+01 7.067543329279178721e+00 4.986339033228296413e-01 1.339476941175528624e-01 2.167710542006173746e+00 2.128381071075281739e+00 2.137530058476174236e+04 0.000000000000000000e+00
1.652450007250026554e+00 6.724290529565831775e+01 6.809717979019287437e-01 2.850976536290091290e-01 6.293587961629425465e+00 3.325418698999786038e+00 2.524524470730115100e-01 3.009587660593205705e+00 4.976524884691823303e+00 5.112199768806243050e+00 2.137552707199670840e+04 0.000000000000000000e+00
3.520801876164225130e-01 6.550554461303562448e+01 6.479888291804298817e-01 1.625758704167033497e-01 1.486661821551378360e+01 7.594464434611866821e+00 6.913916303462878110e-01 5.699987242414232824e+00 1.613929124678354698e+00 1.772641336408002255e+00 2.137592530265565802e+04 0.000000000000000000e+00
6.568215428078326701e-01 6.605025406822777256e+01 6.571008075814978033e-01 2.025918622781145428e-01 1.023340366750186270e+01 4.837451656748543272e+00 4.090797988011823372e-01 4.304321876666331370e+00 1.695488884410710495e-01 4.001722505445793887e-01 2.137601679146799506e+04 0.000000000000000000e+00
4.534482136404882624e-01 6.619663238526368332e+01 6.612745673728270823e-01 -2.229786538117673744e-01 1.244208495467351661e+01 6.175141083322428948e+00 4.363744645532524058e-01 1.928814529388853449e+00 4.039772609867559261e+00 4.229219586682908982e+00 2.137609536281742839e+04 0.000000000000000000e+00
7.633710128395524430e-01 6.526212788946388343e+01 6.412529598325550362e-01 7.759163422828760925e-01 3.630837847682786723e+00 1.846045782603646934e+00 2.104672698926092489e-01 4.476779873411401489e+00 3.527160909747682482e-01 4.920554297912250186e-01 2.137618020886436716e+04 0.000000000000000000e+00
2.267191052046866773e+00 6.740362729131327058e+01 6.904817098623984295e-01 1.795367347029160621e-01 9.418597821308960505e+00 5.579312198050431881e+00 4.680767361790463821e-01 9.201093073941117861e-01 2.920563151782148648e+00 3.042294722802519225e+00 2.137623422863267842e+04 0.000000000000000000e+00
2.583527443865816675e+00 6.569136642681080218e+01 6.535595774325637652e-01 2.952836584756217686e-01 5.696820242847047133e+00 2.901707987882701456e+00 2.265799998080462452e-01 6.444092204312508176e-01 2.835928110670659308e+00 3.061584476086340434e+00 2.137624140732945671e+04 0.000000000000000000e+00
9.277107882289049590e-01 6.584226264773997173e+01 6.623981188406747878e-01 -6.416114349809619588e-01 4.106918436590707877e+00 2.264042096988786668e+00 2.184248833055081329e-01 2.894991064053338281e+00 5.018878950632062796e+00 5.267933690759836196e+00 2.137624608258369699e+04 0.000000000000000000e+00
2.170572682646129348e+00 6.577837827800293269e+01 6.481006888232064833e-01 1.102554382203958794e-01 1.604180460110907802e+01 7.632469673687340972e+00 5.972236369789621913e-01 1.061953998215604100e+00 3.203667841048399190e+00 3.304068150887581101e+00 2.137629953096775716e+04 0.000000000000000000e+00
2.209000951506283172e+00 6.453112414781102757e+01 6.256925215138023910e-01 9.717270917723984380e-02 1.489515881791440499e+01 7.430826665801130382e+00 6.476457947800188242e-01 8.775141756372988322e-01 3.171767123465356608e+00 3.327171775010380639e+00 2.137644458516785380e+04 0.000000000000000000e+00
5.433178509826963598e-01 6.523410491113953924e+01 6.504785997884600102e-01 -2.542435871666059444e-01 1.065071417422147348e+01 6.442031250565333877e+00 5.043216852795109340e-01 2.234793630582555757e+00 4.339546087070773162e+00 4.377929231123464326e+00 2.137660909821344831e+04 0.000000000000000000e+00
2.844173871894758232e+00 6.602013053842162549e+01 6.670815492245556477e-01 5.202889989349265276e-01 4.421818024613557441e+00 2.597306719502712635e+00 2.078859883401849573e-01 2.790770904368705674e-01 2.367339047931959151e+00 2.532712150549524033e+00 2.137672053937249439e+04 0.000000000000000000e+00
8.507526654403693156e-01 6.489351306134244624e+01 6.382807365201565997e-01 -9.315439235426087317e-02 8.102959436075584776e+00 4.277086810270144035e+00 3.433600613550983338e-01 3.339808376197765050e+00 5.597634691785846606e+00 5.673784272866752687e+00 2.137690117633433329e+04 0.000000000000000000e+00
1.940615675768665171e-01 6.601272313665613467e+01 6.667931814410344993e-01 8.549344774272265024e-01 3.200942258705362864e+00 1.846286756423136000e+00 2.742353423149178626e-01 5.576326540640431872e+00 1.308170902780528611e+00 1.496872513906567059e+00 2.137693089476878959e+04 0.000000000000000000e+00
5.374013357802079893e-01 6.551673259644357472e+01 6.573070444120887590e-01 2.799081553749455664e-01 9.723327150184990941e+00 5.579516767325976012e+00 4.290349611249200112e-01 4.750469626779720400e+00 5.768801692974994122e-01 7.981559062801933946e-01 2.137707197591019576e+04 0.000000000000000000e+00
6.980808791705300775e-01 6.491208266892425627e+01 6.337375705696760564e-01 2.074629350146136586e-01 9.575887164213586544e+00 4.624816766319984396e+00 3.859895096479595833e-01 4.211963434657419292e+00 1.628209839023469219e-01 1.881811733936298303e-01 2.137707288903936933e+04 0.000000000000000000e+00
2.611505361323572139e+00 6.454764331279704948e+01 6.300784965348448230e-01 2.750852351550505670e-01 5.763771800785026045e+00 3.060983203042328515e+00 2.639254348414384332e-01 5.934333205438311332e-01 2.822633038617264223e+00 2.825493017590185119e+00 2.137714932926046095e+04 0.000000000000000000e+00
3.977368999779607450e-01 6.703708335769073301e+01 6.767360557426510548e-01 2.676204087984998536e-01 9.889688232367173981e+00 4.870164019973294067e+00 3.926298488101394035e-01 5.348461065171120410e+00 1.105612400362259606e+00 1.275591248565384417e+00 2.137719113765095244e+04 0.000000000000000000e+00
7.122130218068430940e-01 6.540397286433235990e+01 6.543591614844446180e-01 -2.937359155348138184e-01 7.693291715949573728e+00 4.375810006628256588e+00 3.725552878455863359e-01 2.694151283093547455e+00 4.810273655930457970e+00 5.036809369932258029e+00 2.137726228408341558e+04 0.000000000000000000e+00
1.503636353218033017e+00 6.468444576127872381e+01 6.265507399667278321e-01 -6.772985783824765349e-01 4.040669309713368129e+00 1.934738355189226322e+00 2.119616868474524796e-01 4.046016510359482510e+00 6.268918271261990860e+00 5.220184605668970468e-02 2.137727779019631998e+04 0.000000000000000000e+00
