# psi Mf af cosiota A2220 A2221 A2330 phi2220 phi2221 phi2330 logL logPrior
8.992399137690535449e-01 6.954132112582230718e+01 7.241311735967155272e-01 -6.077558891204256630e-01 3.625127526873923589e+00 1.862696316629822268e+00 1.093912957666330205e-01 2.881063308770787312e+00 4.819201155945994408e+00 5.295857494166845036e+00 2.141998176853588666e+04 0.000000000000000000e+00
4.372823319963047850e-01 6.874613929539829371e+01 7.097733499018438197e-01 3.395596036487517067e-01 7.106336734588949433e+00 3.283283511315173708e+00 1.954126726947292281e-01 5.184042677444595348e+00 9.205531114125278247e-01 1.694183512944971159e+00 2.142295259360966884e+04 0.000000000000000000e+00
1.217125449949481686e+00 6.693449883427231839e+01 6.713954809328548379e-01 8.374775007537692550e-01 3.043969788641648577e+00 1.410093375840702157e+00 1.814292667576461737e-01 3.628062972754210413e+00 5.820043011019341073e+00 1.518543623047054481e-01 2.142394259034545394e+04 0.000000000000000000e+00
2.660590185142936548e+00 6.776039383609420952e+01 6.892086402052164384e-01 1.851299013106821323e-01 5.157604332065026220e+00 2.408147211906140228e+00 1.969917209373728273e-01 5.385549663187290115e-01 2.803678171849171452e+00 3.283077284577735622e+00 2.142515876034406392e+04 0.000000000000000000e+00
2.314418911224368214e-01 6.857330376915412273e+01 6.988902364606424111e-01 2.961829831315070383e-01 6.851251489155228747e+00 2.707726295423936058e+00 2.018252821225307303e-01 5.908433544127086989e+00 1.675809805541933484e+00 2.643825443566236721e+00 2.142538660874149355e+04 0.000000000000000000e+00
2.531496723953730932e+00 6.607801124989205732e+01 6.533761246924411070e-01 -4.586423789684635488e-01 4.705056721746008641e+00 1.989007189589810043e+00 1.729769192596446181e-01 6.108896253553723968e-03 2.368506621010485258e+00 3.160338066614265085e+00 2.142543118165336637e+04 0.000000000000000000e+00
2.994558889665247303e+00 6.697103058655950747e+01 6.831238594288407961e-01 5.083265117742423733e-01 4.148279517420453644e+00 2.194216088038523971e+00 1.579385546671720209e-01 7.689712133935570904e-02 2.221129963712503486e+00 2.684494260740527327e+00 2.142558582979163475e+04 0.000000000000000000e+00
7.108719408784665017e-01 6.610562501312007555e+01 6.519304689335948533e-01 6.534832511596261329e-01 4.012366317810739602e+00 1.655684190609228335e+00 1.515955222121098678e-01 4.652959538443012910e+00 7.345008915707521568e-01 1.487382492516150068e+00 2.142610430526214259e+04 0.000000000000000000e+00
4.695865473776839050e-01 6.834828451615224765e+01 7.015568200457388270e-01 -4.096771361154583069e-01 6.056428835305056602e+00 2.906371455759118927e+00 1.987130885041549777e-01 1.996166778603170933e+00 4.042998279189515820e+00 4.831664681796414840e+00 2.142623772418087174e+04 0.000000000000000000e+00
1.814153469140157959e+00 6.928804065010083946e+01 7.153975373848636687e-01 6.610936268304621333e-01 3.501240958031208717e+00 1.555847909167438203e+00 8.323330854043393956e-02 2.458800486819657571e+00 4.317594228033398096e+00 5.248607216469522996e+00 2.142625223930881475e+04 0.000000000000000000e+00
1.856462747780095457e+00 6.887460748650664755e+01 7.080367309397344044e-01 6.117686413232859693e-02 1.324650842980823562e+01 6.189536960455454206e+00 3.313599005683230958e-01 3.232597332897793496e+00 5.162821111403082419e+00 5.896897094349636603e+00 2.142626934668911053e+04 0.000000000000000000e+00
6.267598580612050441e-01 6.752278401424165111e+01 6.781779577553511684e-01 4.812256695958853914e-02 1.491575636522089532e+01 5.820835288294424537e+00 3.678371308861596023e-01 3.893282566862636518e+00 6.042953622924619239e+00 5.776335921942136187e-01 2.142629351701603809e+04 0.000000000000000000e+00
1.836718917900007353e-01 6.857720799347491436e+01 7.041534452253025433e-01 -5.324929756198122366e-01 4.269525317990800595e+00 2.014748989571224502e+00 1.303345519583654355e-01 1.343562408698859789e+00 3.291500367242751413e+00 3.794804877392602638e+00 2.142679170700164832e+04 0.000000000000000000e+00
2.531537678220727727e+00 6.767063645100060398e+01 6.918278873893461967e-01 1.631173517272873075e-01 5.564141633149427335e+00 2.729383086484372001e+00 1.694386324495517071e-01 5.917316753361865356e-01 2.613200165348389614e+00 3.248362057719435647e+00 2.142697110148986394e+04 0.000000000000000000e+00
1.628073769611180444e+00 6.665441440853365407e+01 6.647002732522248047e-01 8.078474136001307926e-01 3.152995259532543670e+00 1.246441160816489813e+00 1.621664558885017038e-01 2.863878871422011141e+00 5.147796040038626231e+00 5.875722575359660027e+00 2.142708173669457392e+04 0.000000000000000000e+00
2.236311182907955608e+00 6.706689042542210188e+01 6.715643332196403748e-01 1.710230253081856944e-01 1.010220347167744670e+01 4.422721866458454443e+00 3.488033569951700108e-01 1.113125872191881083e+00 3.473265806876029593e+00 3.895618756705937269e+00 2.142709844183270980e+04 0.000000000000000000e+00
2.678122910412846558e+00 6.806888234288922490e+01 6.901960119499164215e-01 3.118814948161146017e-01 4.629510488910977273e+00 1.953874876291176843e+00 1.297965274476265973e-01 6.058982337942343532e-01 2.714046463697412204e+00 3.349223906058325095e+00 2.142719443470619080e+04 0.000000000000000000e+00
2.931557536718986778e+00 6.826924075694510918e+01 7.022779884901682035e-01 -4.342329512899470445e-01 4.137145736396676377e+00 1.995663928295417611e+00 1.144230930523299633e-01 5.614453412384060593e-01 2.524113532868433651e+00 3.536471842021332357e+00 2.142736919320811649e+04 0.000000000000000000e+00
2.509024272593340932e+00 6.740875013745706212e+01 6.875227594519056629e-01 2.270645819200048376e-01 5.568493505614910966e+00 2.725740545613843935e+00 1.637631608224886515e-01 6.840473749278465077e-01 2.789785904500411640e+00 3.510779624832657042e+00 2.142758188834061730e+04 0.000000000000000000e+00
7.750260269543841618e-01 6.730115839143711298e+01 6.795902688163890648e-01 6.161993648995174322e-01 3.881744918569360436e+00 1.640466287049388905e+00 1.148200824348097199e-01 4.475249770620896683e+00 2.795798882346798298e-01 8.425395194682132605e-01 2.142766760188424814e+04 0.000000000000000000e+00
1.672332796883765627e-01 6.723329532199105074e+01 6.785666423636342870e-01 -6.781956591111770738e-01 3.615019106534782090e+00 1.611817551682386718e+00 1.553951277263607988e-01 1.382866558342113805e+00 3.515019324849035343e+00 4.252065986543001941e+00 2.142775891054377644e+04 0.000000000000000000e+00
2.254864306593587830e+00 6.921326592669005606e+01 7.182116975386191315e-01 9.784073716457428738e-01 2.449250136431775804e+00 1.173307258101825123e+00 2.827197727412260053e-01 1.514079151697393932e+00 3.466210066459215700e+00 4.303326296109484694e+00 2.142782907227992837e+04 0.000000000000000000e+00
2.102245425942029566e+00 6.690357649345448010e+01 6.698295265666356357e-01 -2.201778359625051196e-01 1.112027937994786519e+01 4.703833027057663152e+00 2.562299831680298068e-01 5.495696470858142391e+00 1.357710042847481091e+00 2.293799608290307823e+00 2.142786854348990164e+04 0.000000000000000000e+00
4.599993692106161269e-01 6.799375719596844192e+01 6.908511431539778869e-01 -1.915432518068376222e-01 1.292921263939060594e+01 4.991878663882226341e+00 2.539987030909829357e-01 2.034620231673079704e+00 4.092784765257655444e+00 5.146565999401957470e+00 2.142794101854938708e+04 0.000000000000000000e+00
2.742203311399836529e+00 6.850338759943694811e+01 6.988346716745580389e-01 -3.135186218837955341e-01 4.533308104803924543e+00 1.790726768286724502e+00 1.091957275086380963e-01 3.799835309340879874e-01 2.452487139303194397e+00 3.276377391565442387e+00 2.142795194069746140e+04 0.000000000000000000e+00
1.766255673040175056e+00 6.571823472429390733e+01 6.522994209932674314e-01 6.222284255197768621e-02 1.036064893588851810e+01 5.053288272200330056e+00 3.601655637786699282e-01 3.351817279966060603e+00 5.687778116547502982e+00 6.181658714505990915e+00 2.142795820325419481e+04 0.000000000000000000e+00
2.686403582745682250e+00 6.661384286293434798e+01 6.641870220374958000e-01 3.521737174307972285e-01 4.662647223488098902e+00 1.940225268960637628e+00 1.092218795546593679e-01 6.177315955638201794e-01 2.763397075431056837e+00 3.625701365751508032e+00 2.142804826297147520e+04 0.000000000000000000e+00
